"1","ACTUAL","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Donkey Kong","Leon Kennedy","Zero","Knuckles the Echidna","Master Hand","Wario","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Crash Bandicoot","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","D. Va","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Simon Belmont","Pac-Man","Bayonetta","Auron","Vincent Valentine","Sub-Zero","Claire Redfield","Luigi","Frog","Master Chief","Tails","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0"
"2","COOKIE","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Tidus","Leon Kennedy","Zero","Zidane Tribal","Noctis Lucis Caelum","Wario","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Cecil Harvey","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","D. Va","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Ryu Hayabusa","Sans","Bayonetta","Auron","Vincent Valentine","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Nathan Drake","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","KOS-MOS","Aqua","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Wario","Yoshi","Pikachu","Sora","Big Boss","Alucard","Kefka","Ness","Bowser","Phoenix Wright","Kirby","Squall Leonhart","Zelda","Fox McCloud","Aerith Gainsborough","Geralt","Bayonetta","Auron","Sub-Zero","Luigi","Nathan Drake","Tifa Lockheart","Mega Man X","Sephiroth","Amaterasu","Ryu","KOS-MOS","Ganondorf","Vivi","Zero","Pikachu","Sora","Kefka","Bowser","Kirby","Squall Leonhart","Aerith Gainsborough","Geralt","Auron","Luigi","Mega Man X","Sephiroth","Ryu","Ganondorf","Pikachu","Sora","Bowser","Squall Leonhart","Auron","Luigi","Sephiroth","Link","Mega Man","Cloud Strife","Crono","Solid Snake","Sonic the Hedgehog","Samus Aran","Mario","Pikachu","Bowser","Squall Leonhart","Sephiroth","Link","Cloud Strife","Solid Snake","Mario","Mega Man","Crono","Sonic the Hedgehog","Samus Aran","Link","Mario","Mega Man","Samus Aran","Cloud Strife","Solid Snake","Link","Cloud Strife","Solid Snake","Link","0","48","0","0","0","0"
"3","Ngamer","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Donkey Kong","Leon Kennedy","Zero","Zidane Tribal","Master Hand","Monika","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Cecil Harvey","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","Aloy","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Simon Belmont","Pac-Man","Bayonetta","Auron","Vincent Valentine","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Nathan Drake","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","Ellie","Aqua","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Monika","Yoshi","Pikachu","Sora","Big Boss","Alucard","Kefka","Ness","Bowser","Phoenix Wright","Kirby","Squall Leonhart","Zelda","Fox McCloud","Aerith Gainsborough","Geralt","Bayonetta","Auron","Sub-Zero","Luigi","Nathan Drake","Tifa Lockheart","Mega Man X","Sephiroth","Amaterasu","Ryu","Ellie","Ganondorf","Leon Kennedy","Monika","Yoshi","Sora","Alucard","Bowser","Kirby","Zelda","Fox McCloud","Geralt","Auron","Luigi","Mega Man X","Sephiroth","Ryu","Ganondorf","Monika","Sora","Bowser","Zelda","Auron","Mega Man X","Sephiroth","Link","Monika","Cloud Strife","Crono","Solid Snake","Sonic the Hedgehog","Samus Aran","Mario","Mega Man","Bowser","Zelda","Mewtwo","Monika","Cloud Strife","Solid Snake","Mario","Link","Crono","Sonic the Hedgehog","Samus Aran","Monika","Mario","Link","Samus Aran","Link","Samus Aran","Monika","Link","Link","Monika","2565157","50","0","8","32","0"
"4","yoblazer","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Donkey Kong","Leon Kennedy","Zero","Zidane Tribal","Master Hand","Monika","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Cecil Harvey","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Ramza Beoulve","The Boss","Zelda","D. Va","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Ryu Hayabusa","Pac-Man","Bayonetta","Auron","Vincent Valentine","Sub-Zero","Claire Redfield","Luigi","Frog","Master Chief","Nathan Drake","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","KOS-MOS","Aqua","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Monika","Yoshi","Pikachu","Sora","Big Boss","Yuna","Kefka","2B","Bowser","Ike","Kirby","Squall Leonhart","Zelda","Fox McCloud","Aerith Gainsborough","Geralt","Bayonetta","Auron","Sub-Zero","Luigi","Master Chief","Tifa Lockheart","Mega Man X","Sephiroth","Amaterasu","Ryu","KOS-MOS","Ganondorf","Vivi","Zero","Yoshi","Big Boss","Yuna","Bowser","Kirby","Zelda","Aerith Gainsborough","Geralt","Auron","Luigi","Mega Man X","Sephiroth","Ryu","Ganondorf","Yoshi","Big Boss","Kirby","Zelda","Auron","Mega Man X","Sephiroth","Link","Mega Man","Cloud Strife","Crono","Solid Snake","Sonic the Hedgehog","Samus Aran","Mario","Ganondorf","Kirby","Zelda","Sephiroth","Link","Cloud Strife","Solid Snake","Mario","Mega Man","Crono","Sonic the Hedgehog","Samus Aran","Link","Mario","Mega Man","Samus Aran","Cloud Strife","Samus Aran","Link","Cloud Strife","Cloud Strife","Link","2533333","50","0","8","25","0"
"5","Ange","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Donkey Kong","Leon Kennedy","Zero","Knuckles the Echidna","Master Hand","Monika","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Cecil Harvey","Big Boss","Princess Peach","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","Aloy","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Ryu Hayabusa","Pac-Man","Riku","Auron","Magus","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Tails","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","Ellie","Quiet","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Monika","Yoshi","Pikachu","Pokemon Trainer Red","Big Boss","Yuna","Kefka","Ness","Charizard","Phoenix Wright","Kirby","Squall Leonhart","Zelda","Fox McCloud","Aerith Gainsborough","Geralt","Riku","Auron","Sub-Zero","Luigi","Tails","Mewtwo","Mega Man X","Sephiroth","Amaterasu","Ryu","Ellie","Ganondorf","Vivi","Zero","Pikachu","Big Boss","Kefka","Charizard","Kirby","Zelda","Aerith Gainsborough","Riku","Auron","Luigi","Mewtwo","Sephiroth","Ryu","Vivi","Pikachu","Big Boss","Charizard","Zelda","Auron","Mewtwo","Sephiroth","Link","Mega Man","Cloud Strife","Charizard","Solid Snake","Sonic the Hedgehog","Samus Aran","Mario","Pikachu","Charizard","Zelda","Mewtwo","Link","Cloud Strife","Solid Snake","Mario","Mega Man","Charizard","Sonic the Hedgehog","Samus Aran","Link","Mario","Mega Man","Samus Aran","Mega Man","Samus Aran","Link","Samus Aran","Mario","Link","3982500","48","0","41","39","0"
"6","Leon","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Tidus","Leon Kennedy","Zero","Zidane Tribal","Noctis Lucis Caelum","Wario","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Cecil Harvey","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Shadow the Hedgehog","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","Aloy","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Ryu Hayabusa","Pac-Man","Bayonetta","Auron","Vincent Valentine","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Nathan Drake","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","KOS-MOS","Aqua","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Noctis Lucis Caelum","Yoshi","Pikachu","Sora","Big Boss","Yuna","Kefka","2B","Bowser","Phoenix Wright","Kirby","Squall Leonhart","Zelda","Fox McCloud","Aerith Gainsborough","Ryu Hayabusa","Bayonetta","Auron","Sub-Zero","Luigi","Nathan Drake","Tifa Lockheart","Mega Man X","Sephiroth","Amaterasu","Ryu","KOS-MOS","Ganondorf","Vivi","Zero","Pikachu","Big Boss","Kefka","Bowser","Kirby","Squall Leonhart","Aerith Gainsborough","Ryu Hayabusa","Auron","Luigi","Tifa Lockheart","Sephiroth","Ryu","Vivi","Zero","Big Boss","Kirby","Squall Leonhart","Auron","Luigi","Sephiroth","Link","Mega Man","Cloud Strife","Crono","Solid Snake","Sonic the Hedgehog","Samus Aran","Mario","Zero","Kirby","Squall Leonhart","Luigi","Link","Cloud Strife","Solid Snake","Mario","Mega Man","Crono","Squall Leonhart","Samus Aran","Link","Mario","Mega Man","Samus Aran","Cloud Strife","Solid Snake","Link","Solid Snake","Solid Snake","Link","4444444","47","0","68","19","0"
"7","abdou","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Tidus","Leon Kennedy","Zero","Zidane Tribal","Noctis Lucis Caelum","Wario","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Cecil Harvey","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","D. Va","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Ryu Hayabusa","Pac-Man","Riku","Auron","Vincent Valentine","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Nathan Drake","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","KOS-MOS","Aqua","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Noctis Lucis Caelum","Yoshi","Pikachu","Sora","Big Boss","Alucard","Kefka","Ness","Bowser","Ike","Kirby","Squall Leonhart","Zelda","Fox McCloud","Aerith Gainsborough","Geralt","Riku","Auron","Sub-Zero","Luigi","Nathan Drake","Tifa Lockheart","Mega Man X","Sephiroth","Amaterasu","Ryu","KOS-MOS","Ganondorf","Vivi","Zero","Pikachu","Sora","Kefka","Bowser","Kirby","Zelda","Fox McCloud","Geralt","Auron","Luigi","Mega Man X","Sephiroth","Ryu","Ganondorf","Pikachu","Sora","Kirby","Zelda","Auron","Mega Man X","Sephiroth","Link","Mega Man","Cloud Strife","Crono","Solid Snake","Sonic the Hedgehog","Samus Aran","Mario","Pikachu","Kirby","Zelda","Mega Man X","Link","Cloud Strife","Solid Snake","Mario","Mega Man","Kirby","Sonic the Hedgehog","Samus Aran","Link","Mario","Mega Man","Samus Aran","Mega Man","Samus Aran","Link","Samus Aran","Mario","Link","3000000","48","0","41","18","0"
"8","Ranticoot","Dante","Lightning","Spyro the Dragon","Ganondorf","Vivi","Aya Brea","Donkey Kong","Leon Kennedy","Zero","Knuckles the Echidna","Master Hand","Monika","Yoshi","James Sunderland","Pikachu","Kratos","Sora","Pokemon Trainer Red","Crash Bandicoot","Big Boss","Alucard","Yuna","L-Block","Bomberman","2B","Shadow the Hedgehog","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","D. Va","Fox McCloud","Shovel Knight","Aerith Gainsborough","Geralt","Simon Belmont","Sans","Riku","Auron","Vincent Valentine","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Tails","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","KOS-MOS","Aqua","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Monika","Yoshi","Pikachu","Pokemon Trainer Red","Big Boss","Alucard","L-Block","2B","Bowser","Phoenix Wright","Kirby","Squall Leonhart","Zelda","Fox McCloud","Aerith Gainsborough","Geralt","Sans","Auron","Sub-Zero","Luigi","Tails","Tifa Lockheart","Mega Man X","Sephiroth","Amaterasu","Ryu","KOS-MOS","Dante","Vivi","Zero","Pikachu","Pokemon Trainer Red","L-Block","Bowser","Kirby","Zelda","Fox McCloud","Geralt","Auron","Luigi","Mega Man X","Sephiroth","Ryu","Dante","Pikachu","Pokemon Trainer Red","Bowser","Zelda","Auron","Mega Man X","Sephiroth","Link","Mega Man","Cloud Strife","Crono","Solid Snake","Sonic the Hedgehog","Samus Aran","Sephiroth","Pikachu","Pokemon Trainer Red","Zelda","Mario","Link","Cloud Strife","Solid Snake","Samus Aran","Mega Man","Pokemon Trainer Red","Sonic the Hedgehog","Mario","Link","Samus Aran","Mega Man","Mario","Mega Man","Solid Snake","Link","Solid Snake","Solid Snake","Link","3324000","47","0","68","39","0"
"9","Shonen_Bat","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Tidus","Leon Kennedy","Zero","Knuckles the Echidna","Master Hand","Monika","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Crash Bandicoot","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Estelle Bright","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","Aloy","Fox McCloud","Captain Toad","Aerith Gainsborough","Geralt","Ryu Hayabusa","Sans","Bayonetta","Auron","Vincent Valentine","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Nathan Drake","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","KOS-MOS","Aqua","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Monika","Yoshi","Pikachu","Sora","Big Boss","Alucard","Kefka","2B","Bowser","Phoenix Wright","Kirby","Squall Leonhart","Zelda","Fox McCloud","Captain Toad","Geralt","Sans","Auron","Sub-Zero","Luigi","Nathan Drake","Tifa Lockheart","Mega Man X","Sephiroth","Lara Croft","Ryu","Aqua","Ganondorf","Vivi","Monika","Pikachu","Big Boss","Kefka","Bowser","Kirby","Zelda","Fox McCloud","Geralt","Auron","Luigi","Tifa Lockheart","Sephiroth","Ryu","Ganondorf","Monika","Big Boss","Bowser","Zelda","Geralt","Luigi","Sephiroth","Link","Monika","Cloud Strife","Bowser","Solid Snake","Geralt","Samus Aran","Mario","Mega Man","Crono","Sonic the Hedgehog","Sephiroth","Monika","Cloud Strife","Solid Snake","Mario","Link","Bowser","Geralt","Samus Aran","Monika","Solid Snake","Link","Samus Aran","Link","Mario","Monika","Link","Link","Link","3500000","48","0","41","39","0"
"10","Ringworm","Dante","Lightning","Chun-Li","Ganondorf","Vivi","Aya Brea","Tidus","Leon Kennedy","Zero","Knuckles the Echidna","Master Hand","Monika","Yoshi","Velvet Crowe","Pikachu","Kratos","Sora","Pokemon Trainer Red","Crash Bandicoot","Big Boss","Alucard","Yuna","Kefka","Bomberman","2B","Ness","Charizard","Bowser","Phoenix Wright","Ike","Isaac","Kirby","Squall Leonhart","Garrus Vakarian","The Boss","Zelda","D. Va","Fox McCloud","Shovel Knight","Waluigi","Geralt","Ryu Hayabusa","Sans","Riku","Auron","Vincent Valentine","Sub-Zero","Ren Amamiya","Luigi","Frog","Master Chief","Nathan Drake","Tifa Lockheart","Mewtwo","Revolver Ocelot","Mega Man X","Sephiroth","Captain Falcon","Amaterasu","Lara Croft","Ryu","Commander Shepard","KOS-MOS","Quiet","Dante","Ganondorf","Vivi","Leon Kennedy","Zero","Monika","Yoshi","Pikachu","Sora","Big Boss","Yuna","Kefka","Ness","Bowser","Phoenix Wright","Kirby","Squall Leonhart","Zelda","Fox McCloud","Waluigi","Geralt","Riku","Auron","Sub-Zero","Luigi","Nathan Drake","Tifa Lockheart","Mega Man X","Sephiroth","Amaterasu","Ryu","KOS-MOS","Ganondorf","Vivi","Monika","Pikachu","Sora","Kefka","Bowser","Kirby","Squall Leonhart","Fox McCloud","Geralt","Auron","Luigi","Tifa Lockheart","Sephiroth","Ryu","Ganondorf","Pikachu","Sora","Kirby","Squall Leonhart","Auron","Luigi","Sephiroth","Link","Mega Man","Cloud Strife","Kirby","Solid Snake","Sonic the Hedgehog","Samus Aran","Mario","Pikachu","Crono","Squall Leonhart","Sephiroth","Link","Cloud Strife","Solid Snake","Mario","Mega Man","Kirby","Sonic the Hedgehog","Samus Aran","Link","Solid Snake","Mega Man","Samus Aran","Cloud Strife","Mario","Link","Cloud Strife","Solid Snake","Link","3231825","47","0","68","21","0"
